intent_threshold,retrieval_threshold,escalation_accuracy,escalation_precision,escalation_recall,escalation_f1,false_auto_handles,false_escalations,auto_handle_percentage,escalation_percentage
0.35,0.45,0.6786,0.5135,0.8085,0.6281,9,36,47.1,52.9
0.35,0.48,0.65,0.4872,0.8085,0.608,9,40,44.3,55.7
0.35,0.5,0.6214,0.4643,0.8298,0.5954,8,45,40.0,60.0
0.35,0.52,0.6071,0.4545,0.8511,0.5926,7,48,37.1,62.9
0.35,0.54,0.5786,0.4362,0.8723,0.5816,6,53,32.9,67.1
0.35,0.56,0.55,0.4184,0.8723,0.5655,6,57,30.0,70.0
0.35,0.58,0.5571,0.4257,0.9149,0.5811,4,58,27.9,72.1
0.35,0.6,0.5357,0.4167,0.9574,0.5806,2,63,22.9,77.1
0.4,0.45,0.6643,0.5,0.8511,0.6299,7,40,42.9,57.1
0.4,0.48,0.6429,0.4819,0.8511,0.6154,7,43,40.7,59.3
0.4,0.5,0.6143,0.4607,0.8723,0.6029,6,48,36.4,63.6
0.4,0.52,0.6,0.4516,0.8936,0.6,5,51,33.6,66.4
0.4,0.54,0.5714,0.4343,0.9149,0.589,4,56,29.3,70.7
0.4,0.56,0.5429,0.4175,0.9149,0.5733,4,60,26.4,73.6
0.4,0.58,0.5429,0.419,0.9362,0.5789,3,61,25.0,75.0
0.4,0.6,0.5214,0.4107,0.9787,0.5786,1,66,20.0,80.0
0.45,0.45,0.65,0.4881,0.8723,0.626,6,43,40.0,60.0
0.45,0.48,0.6357,0.4767,0.8723,0.6165,6,45,38.6,61.4
0.45,0.5,0.6071,0.4565,0.8936,0.6043,5,50,34.3,65.7
0.45,0.52,0.5929,0.4479,0.9149,0.6014,4,53,31.4,68.6
0.45,0.54,0.5643,0.4314,0.9362,0.5906,3,58,27.1,72.9
0.45,0.56,0.5429,0.419,0.9362,0.5789,3,61,25.0,75.0
0.45,0.58,0.5357,0.4151,0.9362,0.5752,3,62,24.3,75.7
0.45,0.6,0.5214,0.4107,0.9787,0.5786,1,66,20.0,80.0
0.5,0.45,0.6429,0.4835,0.9362,0.6377,3,47,35.0,65.0
0.5,0.48,0.6286,0.4731,0.9362,0.6286,3,49,33.6,66.4
0.5,0.5,0.6,0.4536,0.9362,0.6111,3,53,30.7,69.3
0.5,0.52,0.5857,0.4455,0.9574,0.6081,2,56,27.9,72.1
0.5,0.54,0.5571,0.4299,0.9787,0.5974,1,61,23.6,76.4
0.5,0.56,0.5429,0.422,0.9787,0.5897,1,63,22.1,77.9
0.5,0.58,0.5357,0.4182,0.9787,0.586,1,64,21.4,78.6
0.5,0.6,0.5143,0.4087,1.0,0.5802,0,68,17.9,82.1
0.55,0.45,0.6143,0.4632,0.9362,0.6197,3,51,32.1,67.9
0.55,0.48,0.6,0.4536,0.9362,0.6111,3,53,30.7,69.3
0.55,0.5,0.5714,0.4356,0.9362,0.5946,3,57,27.9,72.1
0.55,0.52,0.5571,0.4286,0.9574,0.5921,2,60,25.0,75.0
0.55,0.54,0.5286,0.4144,0.9787,0.5823,1,65,20.7,79.3
0.55,0.56,0.5214,0.4107,0.9787,0.5786,1,66,20.0,80.0
0.55,0.58,0.5143,0.4071,0.9787,0.575,1,67,19.3,80.7
0.55,0.6,0.5,0.4017,1.0,0.5732,0,70,16.4,83.6
0.6,0.45,0.6143,0.4639,0.9574,0.625,2,52,30.7,69.3
0.6,0.48,0.6,0.4545,0.9574,0.6164,2,54,29.3,70.7
0.6,0.5,0.5714,0.4369,0.9574,0.6,2,58,26.4,73.6
0.6,0.52,0.5571,0.4299,0.9787,0.5974,1,61,23.6,76.4
0.6,0.54,0.5286,0.4159,1.0,0.5875,0,66,19.3,80.7
0.6,0.56,0.5214,0.4123,1.0,0.5839,0,67,18.6,81.4
0.6,0.58,0.5143,0.4087,1.0,0.5802,0,68,17.9,82.1
0.6,0.6,0.4929,0.3983,1.0,0.5697,0,71,15.7,84.3
0.65,0.45,0.5929,0.451,0.9787,0.6174,1,56,27.1,72.9
0.65,0.48,0.5857,0.4466,0.9787,0.6133,1,57,26.4,73.6
0.65,0.5,0.5643,0.434,0.9787,0.6013,1,60,24.3,75.7
0.65,0.52,0.55,0.4273,1.0,0.5987,0,63,21.4,78.6
0.65,0.54,0.5143,0.4087,1.0,0.5802,0,68,17.9,82.1
0.65,0.56,0.5071,0.4052,1.0,0.5767,0,69,17.1,82.9
0.65,0.58,0.5,0.4017,1.0,0.5732,0,70,16.4,83.6
0.65,0.6,0.4786,0.3917,1.0,0.5629,0,73,14.3,85.7
